#bulbasaur
01,Tackle
01,Growl
07,Leech Seed
13,Vine Whip
20,PoisonPowder
27,Razor Leaf
34,Growth
41,Sleep Powder
48,SolarBeam

#ivysaur
01,Tackle
01,Growl
01,Leech Seed
07,Leech Seed
13,Vine Whip
22,PoisonPowder
30,Razor Leaf
38,Growth
46,Sleep Powder
54,SolarBeam

#venusaur
01,Tackle
01,Growl
01,Leech Seed
01,Vine Whip
07,Leech Seed
13,Vine Whip
22,PoisonPowder
30,Razor Leaf
43,Growth
55,Sleep Powder
65,SolarBeam

#charmander
01,Scratch
01,Growl
09,Ember
15,Leer
22,Rage
30,Slash
38,Flamethrower
46,Fire Spin

#charmeleon
01,Scratch
01,Growl
01,Ember
09,Ember
15,Leer
24,Rage
33,Slash
42,Flamethrower
56,Fire Spin

#charizard
01,Scratch
01,Growl
01,Ember
01,Leer
09,Ember
15,Leer
24,Rage
36,Slash
46,Flamethrower
55,Fire Spin

#squirtle
01,Tackle
01,Tail Whip
08,Bubble
15,Water Gun
22,Bite
28,Withdraw
35,Skull Bash
42,Hydro Pump

#wartortle
01,Tackle
01,Tail Whip
01,Bubble
08,Bubble
15,Water Gun
24,Bite
31,Withdraw
39,Skull Bash
47,Hydro Pump

#blastoise
01,Tackle
01,Tail Whip
01,Bubble
01,Water Gun
08,Bubble
15,Water Gun
24,Bite
31,Withdraw
42,Skull Bash
52,Hydro Pump

#caterpie
01,Tackle
01,String Shot

#metapod
01,Harden
07,Harden

#butterfree
1,Confusion
12,Confusion
13,PoisonPowde
14,Stun Spore
15,Sleep Powder
18,Supersonic
23,Whirlwind
28,Gust
32,Psybeam

#weedle
01,Poison Sting
01,String Shot

#kakuna
01,Harden

#beedrill
01,Fury Attack
12,Fury Attack
16,Focus Energy
20,Twineedle
25,Rage
30,Pin Missile
35,Agility

#pidgey
01,Gust
05,Sand-Attack
12,Quick Attack
19,Whirlwind
28,Wing Attack
36,Agility
44,Mirror Move

#pidgeotto
01,Gust
01,Sand-Attack
05,Sand-Attack
12,Quick Attack
21,Whirlwind
31,Wing Attack
40,Agility
49,Mirror Move

#pidgeot
01,Gust
01,Sand-Attack
01,Quick Attack
05,Sand-Attack
12,Quick Attack
21,Whirlwind
31,Wing Attack
44,Agility
54,Mirror Move

#rattata
01,Tackle
01,Tail Whip
07,Quick Attack
14,Hyper Fang
23,Focus Energy
34,Super Fang

#raticate
01,Tackle
01,Tail Whip
01,Quick Attack
07,Quick Attack
14,Hyper Fang
27,Focus Energy
41,Super Fang

#spearow
01,Peck
01,Growl
09,Leer
15,Fury Attack
22,Mirror Move
29,Drill Peck
36,Agility

#fearow
01,Peck
01,Growl
01,Leer
09,Leer
15,Fury Attack
25,Mirror Move
34,Drill Peck
43,Agility

#ekans
01,Wrap
01,Leer
10,Poison Sting
17,Bite
24,Glare
31,Screech
38,Acid

#arbok
01,Wrap
01,Leer
01,Poison Sting
10,Poison Sting
17,Bite
27,Glare
36,Screech
47,Acid

#pikachu
01,ThunderShock
01,Growl
06,Tail Whip
08,Thunder Wave
11,Quick Attack
15,Double Team
20,Slam
26,Thunderbolt
33,Agility
41,Thunder
50,Light Screen
26,Swift

#raichu
01,ThunderShock
01,Growl
01,Thunder Wave

#sandshrew
01,Scratch
10,Sand-Attack
17,Slash
24,Poison Sting
31,Swift
38,Fury Swipes

#sandslash
01,Scratch
01,Sand-Attack
10,Sand-Attack
17,Slash
27,Poison Sting
36,Swift
47,Fury Swipes

#nidoran-f
01,Growl
01,Tackle
08,Scratch
12,Double Kick
14,Poison Sting
21,Tail Whip
29,Bite
36,Fury Swipes

#nidorina
01,Growl
01,Tackle
01,Scratch
08,Scratch
12,Double Kick
14,Poison Sting
23,Tail Whip
32,Bite
41,Fury Swipes

#nidoqueen
